GeneSymbol,GeneID,A10,A12,A18,A20,A21,K11,K15,K17,K22,K23
WASH7P,653635,1083,805,973,892,592,1078,883,1036,912,584
MIR1302-10,100422834,0,0,2,1,0,0,1,0,1,0
FAM138A,645520,10,7,7,7,5,9,8,3,9,6
OR4F5,79501,5,1,0,0,0,0,0,3,0,0
LOC729737,729737,302,676,209,105,75,209,169,200,300,108
LOC100132287,100132287,208,406,265,170,151,212,213,242,216,112
OR4F29,729759,1,4,0,5,1,1,4,0,0,2
OR4F16,81399,16,14,7,15,9,4,19,12,10,15
LOC100288069,100288069,219,461,277,245,204,195,254,291,231,197
FAM87B,400728,120,185,103,129,106,142,152,187,129,83
LINC00115,79854,117,183,129,147,92,110,127,149,125,87
LINC01128,643837,213,149,151,216,168,172,163,149,155,114
FAM41C,284593,4,3,10,3,1,0,3,0,1,1
LOC284600,284600,358,279,163,242,221,200,272,332,211,170
LINC02593,100130417,300,132,193,279,198,185,306,226,258,160
SAMD11,148398,1558,565,587,1590,1390,886,1375,653,914,466
NOC2L,26155,1778,1219,1001,2002,1786,1531,1661,1401,1384,1056
KLHL17,339451,663,405,385,682,560,594,551,398,526,335
PLEKHN1,84069,223,200,154,334,250,218,233,202,203,88
PERM1,84808,69,54,58,82,77,61,53,48,56,40
HES4,57801,593,445,455,629,401,598,355,433,491,182
ISG15,9636,330,388,266,334,408,368,380,308,313,188
AGRN,375790,8188,9993,7949,8310,5986,7934,6075,6737,7783,5301
RNF223,401934,15,103,48,43,31,23,11,36,38,12
C1orf159,54991,395,487,349,474,412,424,404,348,420,240
MIR200B,406984,24,41,35,25,19,28,7,25,43,15
MIR200A,406983,28,34,38,25,23,36,16,28,50,17
MIR429,554210,38,53,27,28,28,38,34,25,50,28
TTLL10-AS1,100506376,70,59,55,56,41,82,32,27,85,57
TTLL10,254173,127,86,89,109,76,172,69,44,185,124
TNFRSF18,8784,138,43,32,86,150,35,42,43,43,36
TNFRSF4,7293,55,59,25,79,63,87,37,61,40,45
SDF4,51150,3188,2649,2077,3329,3294,2892,3198,2490,2643,1586
B3GALT6,126792,896,599,506,986,1022,740,881,724,744,660
C1QTNF12,388581,67,53,32,60,70,45,51,61,41,24
UBE2J2,118424,1165,1001,840,1295,1082,1000,1289,1013,941,768
SCNN1D,6339,177,310,231,215,204,152,164,189,213,95
ACAP3,116983,2127,1899,1667,2674,2386,2187,2200,1829,2186,1341
PUSL1,126789,328,298,249,394,372,347,332,256,275,172
INTS11,54973,2210,2060,1786,2465,2461,2152,2411,2044,2119,1465
CPTP,80772,660,647,606,748,659,727,775,578,648,294
TAS1R3,83756,111,146,124,142,120,112,131,95,113,84
DVL1,1855,1855,1785,1349,2089,1804,1619,1891,1548,1564,985
MXRA8,54587,4208,3173,3153,5046,5865,3374,4615,3646,3895,2500
AURKAIP1,54998,803,693,559,897,865,719,942,612,585,372
CCNL2,81669,3956,3986,3657,4870,3547,3748,3675,3659,4176,2796
MRPL20-AS1,148413,394,331,290,473,317,328,382,312,294,178
MRPL20,55052,524,390,360,560,528,481,487,424,356,270
ANKRD65,441869,135,148,95,130,178,118,103,99,151,64
TMEM88B,643965,32,22,9,27,20,17,26,16,15,5
VWA1,64856,2591,1227,831,2730,2756,1649,1815,1543,1708,806
ATAD3C,219293,124,60,73,142,108,56,76,92,78,33
ATAD3B,83858,1024,815,551,1127,1102,958,919,854,977,633
ATAD3A,55210,814,658,446,959,991,739,889,673,750,418
TMEM240,339453,47,71,61,90,64,69,80,54,60,26
SSU72,29101,1318,1064,930,1448,1216,1135,1323,995,978,706
FNDC10,643988,199,249,242,231,182,159,181,155,136,41
MIB2,142678,1292,1514,1136,1728,1401,1226,1316,1282,1377,941
MMP23B,8510,30,67,12,46,31,11,27,16,22,5
CDK11B,984,734,587,502,1087,795,647,743,646,721,378
SLC35E2B,728661,4462,3044,3472,4469,4816,3590,3903,3355,5468,2559
MMP23A,8511,22,37,17,25,21,8,14,15,10,7
CDK11A,728642,721,495,635,1113,660,432,736,610,744,253
SLC35E2A,9906,716,361,692,775,698,423,771,712,883,354
NADK,65220,2372,2335,1841,2590,2153,2050,2400,1974,2151,1339
GNB1,2782,7339,6641,4915,7354,7133,6183,6531,5960,5952,4997
CALML6,163688,20,20,33,32,34,19,26,20,13,12
TMEM52,339456,5,4,5,7,5,2,6,1,8,6
CFAP74,85452,79,51,43,35,25,77,36,17,140,102
GABRD,2563,3,7,7,5,8,8,16,9,15,4
PRKCZ,5590,373,432,327,426,332,425,416,402,442,296
PRKCZ-AS1,100506504,127,111,88,138,114,122,128,106,131,87
FAAP20,199990,479,429,379,565,561,386,494,468,398,275
SKI,6497,3871,3433,2884,4394,4086,3270,3675,2958,3250,2726
MORN1,79906,347,349,274,312,397,301,311,290,293,230
LOC100129534,100129534,106,183,97,132,198,127,132,139,114,88
RER1,11079,2277,2296,1904,2463,2186,1978,2051,2096,1895,1668
PEX10,5192,397,353,290,390,410,402,381,360,352,252
PLCH2,9651,139,282,214,130,127,64,78,146,125,90
PANK4,55229,687,580,512,732,616,603,642,621,619,487
HES5,388585,14,42,48,27,17,22,18,11,21,8
TNFRSF14-AS1,115110,58,58,33,28,59,38,58,28,46,22
TNFRSF14,8764,823,764,647,779,989,846,931,658,822,546
PRXL2B,127281,396,347,272,491,424,434,352,328,349,331
MMEL1,79258,11,16,11,8,17,14,9,7,15,13
TTC34,100287898,36,38,37,44,47,48,30,40,47,42
ACTRT2,140625,0,0,0,0,0,0,0,0,0,0
PRDM16-DT,440556,6,0,1,0,1,0,0,2,1,1
PRDM16,63976,9,8,6,6,4,1,3,1,15,1
MIR4251,100422968,0,1,0,0,0,0,0,0,0,0
ARHGEF16,27237,457,694,501,530,534,621,659,528,487,336
MEGF6,1953,1970,2174,1911,2627,1441,2045,1568,2410,2884,865
MIR551A,693135,0,3,0,0,1,0,3,0,1,1
TPRG1L,127262,1177,1495,1319,1428,1123,1177,1186,1229,1275,945
WRAP73,49856,404,317,256,465,328,341,395,435,345,217
TP73,7161,110,118,95,74,57,129,64,61,138,102
TP73-AS1,57212,950,1051,833,1111,895,880,853,980,935,745
CCDC27,148870,9,8,2,3,2,5,7,3,2,2
SMIM1,388588,9,23,13,16,10,11,16,11,17,2
LRRC47,57470,1152,1109,940,1380,1181,1060,1219,986,1118,915
CEP104,9731,1588,1702,1270,1702,1566,1457,1524,1481,1345,1400
DFFB,1677,256,263,210,301,262,212,223,209,201,196
C1orf174,339448,457,451,330,478,346,419,415,291,380,292
LINC01134,100133612,26,24,14,19,36,26,15,28,28,24
LINC01346,728716,0,0,0,0,1,0,0,0,0,0
LINC01777,284661,0,0,0,0,0,0,0,0,0,0
AJAP1,55966,21,22,7,21,58,23,20,22,19,16
NPHP4,261734,798,1053,651,1120,1247,698,772,714,806,575
KCNAB2,8514,326,222,217,336,350,404,300,302,223,196
CHD5,26038,16,13,7,11,9,11,10,9,11,2
RPL22,6146,2015,1727,1279,2299,2698,1636,2169,2033,1764,1476
RNF207,388591,488,490,354,759,727,560,609,529,608,611
ICMT,23463,2290,1820,1407,2021,2375,1946,1946,1941,1824,1570
LINC00337,148645,0,1,0,2,3,2,2,0,3,1
HES3,390992,2,0,0,4,0,2,0,0,3,1
GPR153,387509,1000,904,877,1547,1130,782,1158,785,957,585
ACOT7,11332,302,180,132,245,360,286,245,221,191,156
HES2,54626,323,340,255,315,113,220,147,738,625,54
ESPN,83715,133,387,271,194,87,325,65,167,434,84
MIR4252,100422975,3,1,0,2,0,1,0,0,0,0
TNFRSF25,8718,536,612,609,713,651,556,496,470,648,301
PLEKHG5,57449,1753,1947,1695,2049,1937,1798,1631,1549,1865,1095
NOL9,79707,1863,1531,1202,1876,1969,1583,1809,1598,1697,1455
